A1 Ion Radius,A2 Ion Radius,A Ion Radius,B ion Radius,X1 Ion Radius,X2 Ion Radius,X3 Ion Radius,X4 Ion Radius,X Ion Radius,t,μ,A1 NumberofProtons,A2 NumberofProtons,B NumberofProtons,X1 NumberofProtons,X2 NumberofProtons,X3 NumberofProtons,X4 NumberofProtons,A1 NumberofNeutrons,A2 NumberofNeutrons,B NumberofNeutrons,X1 NumberofNeutrons,X2 NumberofNeutrons,X3 NumberofNeutrons,X4 NumberofNeutrons,A1 NumberofShells,A2 NumberofShells,B NumberofShells,X1 NumberofShells,X2 NumberofShells,X3 NumberofShells,X4 NumberofShells,A1 SpecificHeat,A2 SpecificHeat,B SpecificHeat,X1 SpecificHeat,X2 SpecificHeat,X3 SpecificHeat,X4 SpecificHeat,A1 Density,A2 Density,B Density,X1 Density,X2 Density,X3 Density,X4 Density,A1 FirstIonization,A2 FirstIonization,B FirstIonization,X1 FirstIonization,X2 FirstIonization,X3 FirstIonization,X4 FirstIonization,A1 AtomicMass,A2 AtomicMass,B AtomicMass,X1 AtomicMass,X2 AtomicMass,X3 AtomicMass,X4 AtomicMass,A1 MeltingPoint,A2 MeltingPoint,B MeltingPoint,X1 MeltingPoint,X2 MeltingPoint,X3 MeltingPoint,X4 MeltingPoint,Ef (eV)
138,138,138,69,196,196,220,181,198.25,0.889671301,0.348045397,19,19,50,35,35,53,17,20,20,69,45,45,74,18,4,4,5,4,4,5,3,0.757,0.757,0.228,0.474,0.474,0.214,0.479,0.862,0.862,7.29,3.12,3.12,4.93,0.00321,4.3407,4.3407,7.3439,11.8138,11.8138,10.4513,12.9676,39.098,39.098,118.71,79.904,79.904,126.904,35.453,336.5,336.5,505.21,266.05,266.05,386.65,172.31,-0.185913949
167,167,167,119,220,220,220,181,210.25,0.810192963,0.565992866,55,55,82,53,53,53,17,78,78,125,74,74,74,18,6,6,6,5,5,5,3,0.242,0.242,0.129,0.214,0.214,0.214,0.479,1.87,1.87,11.3,4.93,4.93,4.93,0.00321,3.8939,3.8939,7.4167,10.4513,10.4513,10.4513,12.9676,132.905,132.905,207.2,126.904,126.904,126.904,35.453,301.7,301.7,600.75,386.65,386.65,386.65,172.31,-1.690069293
138,138,138,119,133,181,196,220,182.5,0.751667408,0.652054795,19,19,82,9,17,35,53,20,20,125,10,18,45,74,4,4,6,2,3,4,5,0.757,0.757,0.129,0.824,0.479,0.474,0.214,0.862,0.862,11.3,0.0017,0.00321,3.12,4.93,4.3407,4.3407,7.4167,17.4228,12.9676,11.8138,10.4513,39.098,39.098,207.2,18.998,35.453,79.904,126.904,336.5,336.5,600.75,53.63,172.31,266.05,386.65,-0.513714474
167,167,167,69,196,196,220,220,208,0.957274523,0.331730769,55,55,50,35,35,53,53,78,78,69,45,45,74,74,6,6,5,4,4,5,5,0.242,0.242,0.228,0.474,0.474,0.214,0.214,1.87,1.87,7.29,3.12,3.12,4.93,4.93,3.8939,3.8939,7.3439,11.8138,11.8138,10.4513,10.4513,132.905,132.905,118.71,79.904,79.904,126.904,126.904,301.7,301.7,505.21,266.05,266.05,386.65,386.65,-0.882505659
152,152,152,119,133,133,133,220,154.75,0.792347051,0.768982229,37,37,82,9,9,9,53,48,48,125,10,10,10,74,5,5,6,2,2,2,5,0.363,0.363,0.129,0.824,0.824,0.824,0.214,1.53,1.53,11.3,0.0017,0.0017,0.0017,4.93,4.1771,4.1771,7.4167,17.4228,17.4228,17.4228,10.4513,85.468,85.468,207.2,18.998,18.998,18.998,126.904,312.79,312.79,600.75,53.63,53.63,53.63,386.65,0.150269583
152,152,152,69,181,181,220,220,200.5,0.924879927,0.344139651,37,37,50,17,17,53,53,48,48,69,18,18,74,74,5,5,5,3,3,5,5,0.363,0.363,0.228,0.479,0.479,0.214,0.214,1.53,1.53,7.29,0.00321,0.00321,4.93,4.93,4.1771,4.1771,7.3439,12.9676,12.9676,10.4513,10.4513,85.468,85.468,118.71,35.453,35.453,126.904,126.904,312.79,312.79,505.21,172.31,172.31,386.65,386.65,-0.824708559
76,152,114,53,133,133,133,133,133,0.939007392,0.398496241,3,37,32,9,9,9,9,4,48,41,10,10,10,10,2,5,4,2,2,2,2,3.582,0.363,0.32,0.824,0.824,0.824,0.824,0.534,1.53,5.32,0.0017,0.0017,0.0017,0.0017,5.3917,4.1771,7.8994,17.4228,17.4228,17.4228,17.4228,6.941,85.468,72.64,18.998,18.998,18.998,18.998,453.85,312.79,1211.45,53.63,53.63,53.63,53.63,3.772374801
76,167,121.5,53,133,133,133,133,133,0.967519762,0.398496241,3,55,32,9,9,9,9,4,78,41,10,10,10,10,2,6,4,2,2,2,2,3.582,0.242,0.32,0.824,0.824,0.824,0.824,0.534,1.87,5.32,0.0017,0.0017,0.0017,0.0017,5.3917,3.8939,7.8994,17.4228,17.4228,17.4228,17.4228,6.941,132.905,72.64,18.998,18.998,18.998,18.998,453.85,301.7,1211.45,53.63,53.63,53.63,53.63,2.865345523
76,152,114,53,181,181,181,181,181,0.891438036,0.29281768,3,37,32,17,17,17,17,4,48,41,18,18,18,18,2,5,4,3,3,3,3,3.582,0.363,0.32,0.479,0.479,0.479,0.479,0.534,1.53,5.32,0.00321,0.00321,0.00321,0.00321,5.3917,4.1771,7.8994,12.9676,12.9676,12.9676,12.9676,6.941,85.468,72.64,35.453,35.453,35.453,35.453,453.85,312.79,1211.45,172.31,172.31,172.31,172.31,-1.09000138
76,167,121.5,53,181,181,181,181,181,0.914101715,0.29281768,3,55,32,17,17,17,17,4,78,41,18,18,18,18,2,6,4,3,3,3,3,3.582,0.242,0.32,0.479,0.479,0.479,0.479,0.534,1.87,5.32,0.00321,0.00321,0.00321,0.00321,5.3917,3.8939,7.8994,12.9676,12.9676,12.9676,12.9676,6.941,132.905,72.64,35.453,35.453,35.453,35.453,453.85,301.7,1211.45,172.31,172.31,172.31,172.31,-1.579614504
76,152,114,53,196,196,196,196,196,0.880333744,0.270408163,3,37,32,35,35,35,35,4,48,41,45,45,45,45,2,5,4,4,4,4,4,3.582,0.363,0.32,0.474,0.474,0.474,0.474,0.534,1.53,5.32,3.12,3.12,3.12,3.12,5.3917,4.1771,7.8994,11.8138,11.8138,11.8138,11.8138,6.941,85.468,72.64,79.904,79.904,79.904,79.904,453.85,312.79,1211.45,266.05,266.05,266.05,266.05,-1.135393188
76,167,121.5,53,196,196,196,196,196,0.901632141,0.270408163,3,55,32,35,35,35,35,4,78,41,45,45,45,45,2,6,4,4,4,4,4,3.582,0.242,0.32,0.474,0.474,0.474,0.474,0.534,1.87,5.32,3.12,3.12,3.12,3.12,5.3917,3.8939,7.8994,11.8138,11.8138,11.8138,11.8138,6.941,132.905,72.64,79.904,79.904,79.904,79.904,453.85,301.7,1211.45,266.05,266.05,266.05,266.05,-1.456756631
76,152,114,53,220,220,220,220,220,0.865105,0.240909091,3,37,32,53,53,53,53,4,48,41,74,74,74,74,2,5,4,5,5,5,5,3.582,0.363,0.32,0.214,0.214,0.214,0.214,0.534,1.53,5.32,4.93,4.93,4.93,4.93,5.3917,4.1771,7.8994,10.4513,10.4513,10.4513,10.4513,6.941,85.468,72.64,126.904,126.904,126.904,126.904,453.85,312.79,1211.45,386.65,386.65,386.65,386.65,-0.373744088
76,167,121.5,53,220,220,220,220,220,0.88453101,0.240909091,3,55,32,53,53,53,53,4,78,41,74,74,74,74,2,6,4,5,5,5,5,3.582,0.242,0.32,0.214,0.214,0.214,0.214,0.534,1.87,5.32,4.93,4.93,4.93,4.93,5.3917,3.8939,7.8994,10.4513,10.4513,10.4513,10.4513,6.941,132.905,72.64,126.904,126.904,126.904,126.904,453.85,301.7,1211.45,386.65,386.65,386.65,386.65,-0.231996882
76,152,114,69,133,133,133,133,133,0.864630569,0.518796992,3,37,50,9,9,9,9,4,48,69,10,10,10,10,2,5,5,2,2,2,2,3.582,0.363,0.228,0.824,0.824,0.824,0.824,0.534,1.53,7.29,0.0017,0.0017,0.0017,0.0017,5.3917,4.1771,7.3439,17.4228,17.4228,17.4228,17.4228,6.941,85.468,118.71,18.998,18.998,18.998,18.998,453.85,312.79,505.21,53.63,53.63,53.63,53.63,-0.102759199
76,167,121.5,69,133,133,133,133,133,0.890884534,0.518796992,3,55,50,9,9,9,9,4,78,69,10,10,10,10,2,6,5,2,2,2,2,3.582,0.242,0.228,0.824,0.824,0.824,0.824,0.534,1.87,7.29,0.0017,0.0017,0.0017,0.0017,5.3917,3.8939,7.3439,17.4228,17.4228,17.4228,17.4228,6.941,132.905,118.71,18.998,18.998,18.998,18.998,453.85,301.7,505.21,53.63,53.63,53.63,53.63,-2.097412477
